P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,65,3,-1,6,2,8,7,8,2,5,5.33,3,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,72,3,-1,6,7,2,5,7,2,5,4.67,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,60,6,1,6,8,3,6,7,5,7,6.0,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,120000,0
2,68,6,1,6,8,6,4,7,7,6,6.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
1,79,4,-1,1,6,10,6,8,10,10,8.33,1,1,4,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,0
1,71,2,1,6,10,4,10,10,10,10,9.0,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,120,2,0,0
2,76,4,-1,6,10,10,10,10,10,10,10.0,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,64,4,-1,6,5,5,3,6,7,8,5.67,1,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,400000,400000
2,62,5,-1,1,10,4,10,10,10,9,8.83,2,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,84,3,-1,6,1,9,9,8,8,8,7.17,1,1,4,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,75,3,-1,6,10,10,7,8,10,10,9.17,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,60,2,1,1,7,8,8,8,8,8,7.83,2,1,1,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,8,2,0,300000
1,63,6,1,1,8,4,7,10,4,8,6.83,1,1,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
2,73,4,-1,6,8,7,7,7,8,8,7.5,1,1,6,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,67,2,1,6,8,7,7,7,7,5,6.83,2,2,3,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,200000
1,70,2,1,6,5,7,7,7,7,5,6.33,2,2,3,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,68,2,1,6,10,10,10,10,10,10,10.0,1,2,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
2,65,2,1,6,10,10,10,10,10,10,10.0,1,2,3,2,2,1,1,3,0,2,2,2,2,2,0,2,1,2,2,2,2,0,0,2,0,0
2,68,2,1,5,9,8,8,9,9,9,8.67,2,2,4,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,200000
1,82,2,1,5,9,8,8,8,8,6,7.83,2,2,4,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,100000
1,64,6,1,6,9,7,7,9,7,8,7.83,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,2,1,2,1,1,2,0,0,2,300000,0
2,77,3,-1,6,7,8,4,6,6,6,6.17,1,1,2,1,2,3,1,9,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,82,3,-1,6,5,2,3,6,0,2,3.0,1,1,3,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,100000
1,66,6,1,6,8,7,8,8,7,7,7.5,1,2,2,1,2,3,1,1,0,2,2,2,2,2,0,2,1,2,2,2,2,0,0,2,98,0
2,64,6,1,6,8,8,8,9,8,8,8.17,1,2,2,1,2,3,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,62,2,1,6,6,6,5,5,7,6,5.83,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,68,2,1,6,8,6,4,5,5,7,5.83,1,2,2,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,60,2,1,6,6,2,7,6,4,8,5.5,1,2,2,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,800000
2,70,3,-1,6,6,3,5,7,4,8,5.5,2,1,2,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,100000
2,70,3,-1,6,10,8,4,8,9,8,7.83,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
